,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Bodegas,Departamentos por piso,Orientación,Número de piso de la unidad,Cantidad de pisos
574,Seminario / Irarrázaval / Metro Irarrázaval,Departamento,Publicado hace 21 días,2021-07-01,"Seminario / Irarrázaval / Metro Irarrázaval, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",360.000,,"0,35 UF/m²","0,31 UF/m²",34.14 m²,31.76 m²,1,1,,,,,,,,
575,Seminario / Irarrázaval / Metro Irarrázaval,Departamento,Publicado hace 21 días,2021-07-01,"Seminario / Irarrázaval / Metro Irarrázaval, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",360.000,,"0,35 UF/m²","0,31 UF/m²",34.14 m²,31.76 m²,1,1,,,,,,,,
576,Seminario / Irarrázaval / Metro Irarrázaval,Departamento,Publicado hace 21 días,2021-07-01,"Seminario / Irarrázaval / Metro Irarrázaval, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",350.000,,"0,35 UF/m²","0,31 UF/m²",34.14 m²,31.76 m²,1,1,,,,,,,,
577,Seminario / Irarrázaval / Metro Irarrázaval,Departamento,Publicado hace 21 días,2021-07-01,"Seminario / Irarrázaval / Metro Irarrázaval, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",350.000,,"0,35 UF/m²","0,31 UF/m²",34.14 m²,31.76 m²,1,1,,,,,,,,
578,Seminario / Irarrázaval / Metro Irarrázaval,Departamento,Publicado hace 21 días,2021-07-01,"Seminario / Irarrázaval / Metro Irarrázaval, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",370.000,,"0,36 UF/m²","0,31 UF/m²",34.14 m²,31.76 m²,1,1,,,,,,,,
579,Miguel Claro  / Irarrázaval,Departamento,Publicado hace 24 días,2021-07-01,"Miguel Claro  / Irarrázaval, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",400.000,,"0,28 UF/m²","0,31 UF/m²",48 m²,45 m²,1,1,,,,,,,,
580,Departamento Nuevo Sin Uso ,Departamento,Publicado hace 2 meses,2021-07-01,"Irarrázaval 5100 - 5400, Plaza Egaña, Ñuñoa, RM (Metropolitana)",390.000,,"0,2 UF/m²",,67 m²,32 m²,1,1,1,45000 CLP,,,,,,
581,Av. Pedro De Valdivia / Av. Irarrazaval,Departamento,Publicado hace 2 meses,2021-07-01,"Av. Pedro De Valdivia / Av. Irarrazaval, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",550.000,,"0,26 UF/m²","0,25 UF/m²",70 m²,60 m²,2,2,1,,,,,,,
582,Departamento Mariposa Con Estacionamiento Y Bodega,Departamento,Publicado hace 2 meses,2021-07-01,"Irarrázaval 5353, Plaza Egaña, Ñuñoa, RM (Metropolitana)",510.000,,"0,25 UF/m²","0,25 UF/m²",68 m²,63 m²,2,2,1,,,,,,,
583,Excelente Oportunidad De Arriendo De  Departamento Nuevo,Departamento,Publicado hace 27 días,2021-07-01,"Pucará 5120, Metro Simón Bolivar, Ñuñoa, RM (Metropolitana)",550.000,,"0,28 UF/m²","0,25 UF/m²",65.21 m²,56.63 m²,2,2,1,90000 CLP,,,,,,
584,Excelente Oportunidad De Arriendo De  Departamento Nuevo,Departamento,Publicado hace 2 meses,2021-07-01,"Pucará 5120, Metro Simón Bolivar, Ñuñoa, RM (Metropolitana)",400.000,,"0,31 UF/m²","0,31 UF/m²",44.02 m²,38.65 m²,1,1,1,65000 CLP,,,,,,
585,Lincoyán / Julio Prado,Departamento,Publicado hace 2 meses,2021-07-01,"Lincoyán 900 - 1200, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",370.000,,"0,35 UF/m²","0,31 UF/m²",36 m²,32 m²,1,1,1,,,,,,,
586,Simón Bolivar / Av. Ossa,Departamento,Publicado hace 2 meses,2021-07-01,"Simón Bolivar / Av. Ossa, Metro Simón Bolivar, Ñuñoa, RM (Metropolitana)",380.000,,"0,28 UF/m²","0,31 UF/m²",45 m²,45 m²,1,1,,,,,,,,
587,Holanda 3222,Departamento,Publicado hace 2 meses,2021-07-01,"Holanda 3222, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",480.000,,"0,26 UF/m²","0,25 UF/m²",62 m²,62 m²,2,2,1,95000 CLP,,,,,,
588,Villaseca 600,Departamento,Publicado hace 2 meses,2021-07-01,"Villaseca 600, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",370.000,,"0,37 UF/m²","0,31 UF/m²",34 m²,34 m²,1,1,1,70000 CLP,,,,,,
589,"Hermoso Depto, Excelente Conectividad ",Departamento,Publicado hace 2 meses,2021-07-01,"General Bustamante 772, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",320.000,,"0,34 UF/m²","0,31 UF/m²",32 m²,32 m²,1,1,1,,,,,,,
590,Departamento Semi Nuevo Pedro Torres/irarrázaval,Departamento,Publicado hace 21 días,2021-07-01,"Pedro Torres 1 - 300, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",480.000,,"0,27 UF/m²","0,26 UF/m²",60.2 m²,55.74 m²,2,1,1,,,,,,,
591,Irarrazabal Metro Plaza Egaña / Depto Estudio Nuevo Con ...,Departamento,Publicado hace 2 meses,2021-07-01,"Irarrazabal Metro Plaza Egaña / Depto Estudio Nuevo Con Estacionamiento, Plaza Egaña, Ñuñoa, RM (Metropolitana)",350.000,,"0,42 UF/m²","0,31 UF/m²",28 m²,28 m²,1,1,1,,,,,,,
592,Dpto De 2h/1b+est En La Mejor Ubicacion.,Departamento,Publicado hace 2 días,2021-07-01,"Suecia 2700 - 3000, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",480.000,,"0,27 UF/m²","0,26 UF/m²",59 m²,59 m²,2,1,1,55000 CLP,,,,,,
593,Dpto De 2h/1b+est En La Mejor Ubicacion.,Departamento,Publicado hace 2 días,2021-07-01,"Suecia 2700 - 3000, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",480.000,,"0,27 UF/m²","0,26 UF/m²",59 m²,59 m²,2,1,1,55000 CLP,,,,,,
594,Dpto De 2h/1b+est En La Mejor Ubicacion.,Departamento,Publicado hace 2 días,2021-07-01,"Suecia 2700 - 3000, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",480.000,,"0,27 UF/m²","0,26 UF/m²",59 m²,59 m²,2,1,1,55000 CLP,,,,,,
595,Metro Plaza  Egaña,Departamento,Publicado hace 2 meses,2021-07-01,"Irarrázaval 5100 - 5400, Plaza Egaña, Ñuñoa, RM (Metropolitana)",390.000,,"0,35 UF/m²","0,31 UF/m²",38 m²,38 m²,1,1,1,60000 CLP,,,,,,
596,Manuel Montt 2515,Departamento,Publicado hace 2 meses,2021-07-01,"Manuel Montt 2515, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",420.000,,"0,34 UF/m²","0,31 UF/m²",41 m²,38 m²,1,1,1,65000 CLP,,,,,,
597,Irarrázaval 1989,Departamento,Publicado hace 51 días,2021-07-01,"Irarrázaval 1800 - 2100, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",10,323.869,"0,44 UF/m²","0,31 UF/m²",25 m²,25 m²,1,1,,,,,,,,
598,Metro Villar Frei Full Amoblado,Departamento,Publicado hace 2 meses,2021-07-01,"Alcalde Jorge Monckeberg 1 - 300, Villa Frei, Ñuñoa, RM (Metropolitana)",600.000,,"0,29 UF/m²","0,25 UF/m²",70 m²,57 m²,2,2,1,,,,,,,
599,"Departamento, Barrio Italia !!",Departamento,Publicado hace 2 meses,2021-07-01,"Seminario 650, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",450.000,,"0,3 UF/m²","0,32 UF/m²",50 m²,49 m²,2,2,1,,,,,,,
600,Departamento Nuevo Recien Entregado ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manuel Montt 2400 - 2700, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",590.000,,"0,4 UF/m²","0,32 UF/m²",50 m²,50 m²,2,2,1,,,,,,,
601,Manuel Montt 2515 - Departamento 602,Departamento,Publicado hace 2 meses,2021-07-01,"Manuel Montt 2515 - Departamento 602, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",420.000,,"0,28 UF/m²","0,31 UF/m²",50 m²,42 m²,1,1,,60000 CLP,,,,,,
602,Metro Irarrázaval / Tucapel,Departamento,Publicado hace 2 meses,2021-07-01,"Metro Irarrázaval / Tucapel, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",13,386.266,"0,37 UF/m²","0,31 UF/m²",35 m²,31 m²,1,1,,,,,,,,
603,Espectacular Departamento A Pasos De Futuro Metro Monseñ...,Departamento,Publicado hace 2 meses,2021-07-01,"Espectacular Departamento A Pasos De Futuro Metro Monseñor Eyzaguirre!, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",440.000,,"0,35 UF/m²","0,31 UF/m²",42 m²,36 m²,1,1,1,,,,,,,
604,Excelente. A Dos Cuadras De Plaza Ñuñóa,Departamento,Publicado hace 2 meses,2021-07-01,"Irarrázaval 3600 - 3900, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",400.000,,"0,35 UF/m²","0,31 UF/m²",39 m²,35 m²,1,1,1,,,,,,,
605,Acogedor Departamento Amoblado A Pasos De Plaza Ñuñoa,Departamento,Publicado hace 2 meses,2021-07-01,"Holanda 3600 - 3900, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",590.000,,"0,33 UF/m²","0,26 UF/m²",60 m²,60 m²,2,1,1,,,,,,,
606,Tegualda 1975 - Departamento 1208,Departamento,Publicado hace 2 meses,2021-07-01,"Tegualda 1975 - Departamento 1208, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",550.000,,"0,26 UF/m²","0,25 UF/m²",70.68 m²,70.68 m²,2,2,1,,,,,,,
607,"Excelente Departamento Céntrico, Seguro En Pleno Ñuñoa!!!",Departamento,Publicado hace 2 meses,2021-07-01,"José Domingo Cañas 1 - 300, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",680.000,,"0,26 UF/m²","0,24 UF/m²",89 m²,89 m²,3,2,1,,,,,,,
608,Hermoso Departamento  En Edificio Nuevo Excelente,Departamento,Publicado hace 2 meses,2021-07-01,"Manuel Montt 2400 - 2700, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",500.000,,"0,22 UF/m²","0,25 UF/m²",78 m²,75 m²,2,2,1,,,,,,,
609,A 50 Mt De Metro Irarrázaval,Departamento,Publicado hace 2 meses,2021-07-01,"Irarrázaval 1 - 300, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",300.000,,"0,36 UF/m²","0,31 UF/m²",28.07 m²,26.03 m²,1,1,,42000 CLP,,,,,,
610,"Nuevo, Departamento 2d / 2b",Departamento,Publicado hace 2 meses,2021-07-01,"Nuevo, Departamento 2d / 2b, Estadio Nacional, Ñuñoa, RM (Metropolitana)",390.000,,"0,28 UF/m²","0,32 UF/m²",47 m²,44 m²,2,2,,,,,,,,
611,Departamento Nuevo 2d / 2b,Departamento,Publicado hace 2 meses,2021-07-01,"Departamento Nuevo 2d / 2b, Estadio Nacional, Ñuñoa, RM (Metropolitana)",390.000,,"0,28 UF/m²","0,32 UF/m²",47 m²,44 m²,2,2,,,,,,,,
612,Cercano A Metro Irarrázaval,Departamento,Publicado hace 2 meses,2021-07-01,"Emilio Vaisse 600 - 900, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",390.000,,"0,32 UF/m²","0,31 UF/m²",41.15 m²,35.5 m²,1,1,1,,,,,,,
613,Arriendo En Comuna De Ñuñoa  Luminoso Departamento Nuevo,Departamento,Publicado hace 2 meses,2021-07-01,"Irarrázaval 5350, Plaza Egaña, Ñuñoa, RM (Metropolitana)",550.000,,"0,39 UF/m²","0,32 UF/m²",48 m²,45 m²,2,2,1,,,,,,,
614,Departamento Moderno Impecable Tres Dormitorios Luminoso ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manuel Montt 2400 - 2700, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",650.000,,"0,23 UF/m²","0,24 UF/m²",94.5 m²,89 m²,3,2,1,160000 CLP,,,,,,
615,Excelente Departamento Ñuñoa,Departamento,Publicado hace 42 días,2021-07-01,"Dublé Almeyda 2200, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",369.000,,"0,26 UF/m²","0,31 UF/m²",48 m²,47 m²,1,1,,42000 CLP,,,,,,
616,Departamento Semi Nuevo Metro Ñuble,Departamento,Publicado hace 2 meses,2021-07-01,"San Eugenio 1200 - 1500, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",420.000,,"0,28 UF/m²","0,3 UF/m²",50 m²,50 m²,2,1,1,,,,,,,
617,Departamento Semi Nuevo Metro Ñuble,Departamento,Publicado hace 2 meses,2021-07-01,"San Eugenio 1200 - 1500, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",380.000,,"0,26 UF/m²","0,3 UF/m²",50 m²,50 m²,2,1,,,,,,,,
618,Barrio Italia. Departamento Amoblado,Departamento,Publicado hace 1 meses,2021-07-01,"Mujica 1 - 300, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",380.000,,"0,33 UF/m²","0,31 UF/m²",39 m²,38 m²,1,1,,,,,,,,
619,"Excelente Y Cómodo, Cercano A Metro Irarrázaval",Departamento,Publicado hace 59 días,2021-07-01,"Tegualda 1800 - 2100, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",620.000,,"0,28 UF/m²","0,24 UF/m²",74 m²,70 m²,3,2,,,,,,,,
620,Estac. Y Bodega / Amplio-hermoso /campus Uc Oriente,Departamento,Publicado hace 59 días,2021-07-01,"Regina Pacis 760, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",420.000,,"0,31 UF/m²","0,31 UF/m²",45 m²,41 m²,1,1,1,,,,,,,
621,"Departamento, Excelente Ubicación Y Conectividad En Ñuñoa",Departamento,Publicado hace 59 días,2021-07-01,"Domingo Faustino Sarmiento 1 - 300, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",480.000,,"0,24 UF/m²","0,26 UF/m²",66 m²,66 m²,2,1,1,80000 CLP,,,,,,
622,Luminoso Departamento Con Jardin Privado Los Cerezos 76,Departamento,Publicado hace 59 días,2021-07-01,"Los Cerezos 76, Villa Frei, Ñuñoa, RM (Metropolitana)",430.000,,"0,38 UF/m²","0,31 UF/m²",38 m²,33 m²,1,1,1,,,,,,,
623,"Primer Mes Gratis!! Departamento Zañartu 1100, Ñuñoa ",Departamento,Publicado hace 17 días,2021-07-01,"Zañartu 1100, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",420.000,,"0,27 UF/m²","0,3 UF/m²",52 m²,52 m²,2,2,,,,,,,,
624,Impecable Con Balcones,Departamento,Publicado hace 27 días,2021-07-01,"San Eugenio 1200 - 1500, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",450.000,,"0,2 UF/m²","0,25 UF/m²",76 m²,70 m²,2,2,1,70000 CLP,,,,,,
625,Arriendo Departamento Barrio Italia. Seminario,Departamento,Publicado hace 58 días,2021-07-01,"Seminario 300 - 600, Barrio Italia, Providencia, RM (Metropolitana)",13,386.266,"0,31 UF/m²","0,34 UF/m²",42 m²,39 m²,1,1,,50000 CLP,,,,,,
626,"Excelente Condición, Recién Pintado.",Departamento,Publicado hace 58 días,2021-07-01,"Simón Bolivar 3900 - 4200, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",470.000,,"0,25 UF/m²","0,25 UF/m²",64 m²,55 m²,2,2,1,85000 CLP,,,,,,
627,"Dpto. Brown Norte/  Plaza Ñuñoa, Estacionamiento Y Bodega",Departamento,Publicado hace 57 días,2021-07-01,"Brown Norte 300 - 600, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",380.000,,"0,27 UF/m²","0,31 UF/m²",48 m²,45 m²,1,1,1,,,,,,,
628,"Estilo Mariposa , 2 Suite Piso 13",Departamento,Publicado hace 57 días,2021-07-01,"Irarrázaval 870, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",450.000,,"0,27 UF/m²","0,3 UF/m²",57 m²,55 m²,2,2,1,,,,,,,
629,Lindo Departamento En Ñuñoa Cercano A Barrio Italia,Departamento,Publicado hace 56 días,2021-07-01,"Julio Prado 1800 - 2100, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",390.000,,"0,29 UF/m²","0,31 UF/m²",45 m²,45 m²,1,1,1,,,,,,,
630,"Rico Departamento En Un Sector Residencial, Bien Conectado",Departamento,Publicado hace 56 días,2021-07-01,"Domingo Faustino Sarmiento 1 - 300, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",600.000,,"0,16 UF/m²",,130 m²,100 m²,2,2,1,,,,,,,
631,Seminario 650-1 Dormitorio Piso 8,Departamento,Publicado hace 56 días,2021-07-01,"Seminario 650, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",350.000,,"0,33 UF/m²","0,31 UF/m²",36 m²,32 m²,1,1,1,,,,,,,
632,Julio Prado,Departamento,Publicado hace 42 días,2021-07-01,"Julio Prado 1855 - Departamento 1200 - 1500, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",400.000,,"0,34 UF/m²","0,31 UF/m²",40 m²,36 m²,1,1,1,75000 CLP,,,,,,
633,Gran Oportunidad: Como Nuevo En Plaza Ñuñoa,Departamento,Publicado hace 55 días,2021-07-01,"Los Talaveras 1 - 300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",539.980,,"0,24 UF/m²","0,25 UF/m²",75 m²,65 m²,2,2,1,69900 CLP,,,,,,
634,Gran Oportunidad: Como Nuevo En Plaza Ñuñoa,Departamento,Publicado hace 55 días,2021-07-01,"Los Talaveras 1 - 300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",539.980,,"0,24 UF/m²","0,25 UF/m²",75 m²,65 m²,2,2,1,69900 CLP,,,,,,
635,$390.000 Duble Almeyda / Exequiel Figueroa,Departamento,Publicado hace 55 días,2021-07-01,"Dublé Almeyda 5400 - 5700, Diagonal Oriente, Ñuñoa, RM (Metropolitana)",390.000,,"0,33 UF/m²","0,31 UF/m²",40 m²,36 m²,1,1,1,,,,,,,
636,Jorge Washingon  - Pasos Plaza Ñuñoa - Cercano Metro,Departamento,Publicado hace 54 días,2021-07-01,"Jorge Washington 300 - 600, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",420.000,,"0,31 UF/m²","0,31 UF/m²",45 m²,40 m²,1,1,1,40000 CLP,,,,,,
637,"Lindo Departamento A Pasos Plaza Ñuñoa , Cercano A Metro",Departamento,Publicado hace 54 días,2021-07-01,"Brown Norte 1 - 300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",530.000,,"0,23 UF/m²","0,25 UF/m²",78 m²,70 m²,2,2,1,115000 CLP,10 años,,,,,
638,"Hermoso Dep. Tipo Mariposa 2d / 2b, Est. A Pasos Metro",Departamento,Publicado hace 54 días,2021-07-01,"Hermoso Dep 2d / 2b / Est. Sn Eugenio Metro Ñuble ., Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",450.000,,"0,28 UF/m²","0,3 UF/m²",55 m²,52 m²,2,2,1,,,,,,,
639,Arriendo Depto Tipo Estudio Con Estacionamiento En Ñuñoa,Departamento,Publicado hace 54 días,2021-07-01,"Doctor Johow 995, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",320.000,,"0,49 UF/m²","0,31 UF/m²",22 m²,22 m²,1,1,1,40000 CLP,,,,,,
640,Cercano A Metro Irarrázaval,Departamento,Publicado hace 54 días,2021-07-01,"Emilio Vaisse 770, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",385.000,,"0,31 UF/m²","0,31 UF/m²",41.15 m²,35.5 m²,1,1,1,,,,,,,
641,Departamento Impecable A Una Cuadra De Metro Simón Bolívar,Departamento,Publicado hace 53 días,2021-07-01,"Avenida Echeñique 5400 - 5700, Metro Simón Bolivar, Ñuñoa, RM (Metropolitana)",490.000,,"0,27 UF/m²","0,26 UF/m²",62 m²,62 m²,2,1,1,,,,,,,
642,Cómodo Departamento,Departamento,Publicado hace 51 días,2021-07-01,"Irarrázaval 1800 - 2100, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",10,323.869,"0,44 UF/m²","0,31 UF/m²",25 m²,25 m²,1,1,,,,,,,,
643,J.l. Araneda / Lyon / Metro Chile-españa,Departamento,Publicado hace 52 días,2021-07-01,"José Luis Araneda 200, Ñuñoa, RM (Metropolitana)",650.000,,"0,22 UF/m²","0,24 UF/m²",100 m²,80 m²,3,2,1,135000 CLP,,,,,,
644,Cauquenes - Irarrazaval,Departamento,Publicado hace 51 días,2021-07-01,"Cauquenes 1 - 300, Plaza Egaña, Ñuñoa, RM (Metropolitana)",500.000,,"0,28 UF/m²","0,25 UF/m²",61 m²,58 m²,2,2,1,85000 CLP,,,,,,
645,Departamento Vista Norte,Departamento,Publicado hace 51 días,2021-07-01,"Ortúzar 587 - Departamento 82, Parque Botánico, Ñuñoa, RM (Metropolitana)",540.000,,"0,2 UF/m²","0,25 UF/m²",92 m²,78 m²,2,2,1,,,,,,,
646,Excelente No Deje De Preguntar Y Visitar,Departamento,Publicado hace 26 días,2021-07-01,"Emilio Vaisse 600 - 900, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",515.000,,"0,26 UF/m²","0,25 UF/m²",67 m²,60 m²,2,2,1,,,,,,,
647,Nuevo - Arquitectura -  A 8 Min De Metro /english,Departamento,Publicado hace 51 días,2021-07-01,"Ortúzar 1 - 300, Villa Frei, Ñuñoa, RM (Metropolitana)",650.000,,"0,34 UF/m²","0,26 UF/m²",65 m²,65 m²,2,1,1,90000 CLP,,,,,,
648,"Depto. En Arriendo, Bremen / Amapolas",Departamento,Publicado hace 50 días,2021-07-01,"Bremen 1500 - 1800, Amapolas, Ñuñoa, RM (Metropolitana)",395.000,,"0,25 UF/m²","0,26 UF/m²",54 m²,54 m²,2,1,,,,,,,,
649,Excelente Departamento /  Metro Villa Frei,Departamento,Publicado hace 50 días,2021-07-01,"Baden 4871 - Departamento 020, Ñuñoa, RM (Metropolitana)",330.000,,"0,31 UF/m²","0,31 UF/m²",36 m²,36 m²,1,1,,,,,,,,
650,"Hermoso Dep. Tipo Mariposa 2d / 2b, Est. A Pasos Metro",Departamento,Publicado hace 50 días,2021-07-01,"Hermoso Dep 2d / 2b / Est. Sn Eugenio Metro Ñuble ., Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",450.000,,"0,28 UF/m²","0,3 UF/m²",55 m²,52 m²,2,2,1,,,,,,,
651,Arriendo Depto Nuevo Con Bodega / Sky 100,Departamento,Publicado hace 50 días,2021-07-01,"Plaza Egaña 100, Plaza Egaña, Ñuñoa, RM (Metropolitana)",440.000,,"0,32 UF/m²","0,31 UF/m²",46 m²,37.5 m²,1,1,,60000 CLP,,,,,,
652,Augusto Villanueva / Irarrázaval / Metro Villa Frei,Departamento,Publicado hace 20 días,2021-07-01,"Augusto Villanueva 1 - 300, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",360.000,,"0,36 UF/m²","0,31 UF/m²",34.06 m²,34.06 m²,1,1,1,,,,,,,
653,Se Arrienda Amplio Departamento - Barrio Italia Ñuñoa,Departamento,Publicado hace 50 días,2021-07-01,"Italia 1800 - 2100, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",550.000,,"0,28 UF/m²","0,26 UF/m²",65.95 m²,60 m²,2,1,,78000 CLP,,,,,,
654,Departamento En Excelente Ubicacion Barrio Italia,Departamento,Publicado hace 50 días,2021-07-01,"Tegualda 1800 - 2100, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",420.000,,"0,36 UF/m²","0,31 UF/m²",39 m²,35 m²,1,1,1,,,,,,,
655,Espectacular Dpto Como Nuevo Comuna Ñuñoa,Departamento,Publicado hace 18 días,2021-07-01,"Virginio Arias 1200 - 1500, Juan Gómez Millas, Ñuñoa, RM (Metropolitana)",630.000,,"0,18 UF/m²",,120 m²,70 m²,3,2,1,160000 CLP,,,,,,
656,Hermoso Dpto Nuevo Comuna Ñuñoa,Departamento,Publicado hace 18 días,2021-07-01,"Avenida Manuel Montt 2400 - 2700, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",430.000,,"0,34 UF/m²","0,31 UF/m²",43 m²,37 m²,1,1,1,60000 CLP,,,,,,
657,Bello Dpto Nuevo Comuna Ñuñoa,Departamento,Publicado hace 49 días,2021-07-01,"Avenida Manuel Montt 2400 - 2700, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",520.000,,"0,31 UF/m²","0,32 UF/m²",57 m²,50 m²,2,2,1,100000 CLP,,,,,,
658,Metro Estacion Nuñoa  3 Dormitorios 2 Baños,Departamento,Publicado hace 49 días,2021-07-01,"Villaseca 61, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",550.000,,"0,19 UF/m²","0,24 UF/m²",96 m²,90 m²,3,2,1,,,,,,,
659,"Augusto Villanueva, Entre Plaza Nuñoa Y Metro Villa Frei",Departamento,Publicado hace 49 días,2021-07-01,"Augusto Villanueva 1 - 300, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",750.000,,"0,3 UF/m²","0,24 UF/m²",85 m²,85 m²,3,2,1,80000 CLP,,,,,,
660,Departamento Remodelado ,Departamento,Publicado hace 42 días,2021-07-01,"Suecia 2700 - 3000, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",440.000,,"0,25 UF/m²","0,26 UF/m²",59 m²,59 m²,2,1,,,,,,,,
661,Departamento Remodelado Incluye Estacionamiento ,Departamento,Publicado hace 42 días,2021-07-01,"Suecia 2700 - 3000, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",470.000,,"0,27 UF/m²","0,26 UF/m²",59 m²,59 m²,2,1,,,,,,,,
662,Arriendo En Comuna De Ñuñoa  Luminoso Departamento Nuevo,Departamento,Publicado hace 48 días,2021-07-01,"Irarrázaval 5350 - Departamento 208, Plaza Egaña, Ñuñoa, RM (Metropolitana)",560.000,,"0,39 UF/m²","0,32 UF/m²",48 m²,45 m²,2,2,1,,,,,,,
663,Emilio  Vaisse 760  Depto 1010.  Comuna  Ñuñoa.,Departamento,Publicado hace 48 días,2021-07-01,"Emilio Vaisse 760 - Departamento 1010, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",380.000,,"0,3 UF/m²","0,31 UF/m²",42 m²,42 m²,1,1,1,45000 CLP,1 años,,,,,
664,Oportunidad Hamburgo/ Amapolas- Metro P. Gales (nuevo-2021),Departamento,Publicado hace 29 días,2021-07-01,"Hamburgo 1500 - 1800, Amapolas, Ñuñoa, RM (Metropolitana)",590.000,,"0,31 UF/m²","0,25 UF/m²",65 m²,57 m²,2,2,1,120000 CLP,,,,,,
665,Plaza Ñuñoa. Metro Chile España ,Departamento,Publicado hace 48 días,2021-07-01,"Gerona 3402, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",800.000,,"0,25 UF/m²","0,24 UF/m²",107 m²,90 m²,3,2,2,150000 CLP,,,,,,
666,"A Pasos Irarrazaval-mall Plaza Egaña, Linea  3 Y 4 De",Departamento,Publicado hace 46 días,2021-07-01,"Heriberto Covarrubias 1 - 300, Plaza Egaña, Ñuñoa, RM (Metropolitana)",420.000,,"0,32 UF/m²","0,31 UF/m²",44 m²,42 m²,1,1,1,,3 años,,,,,
