,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Cantidad de pisos,Ambientes,Bodegas,Orientación
652,Camino Otoñal / Gral Blanche,Casa,Publicado hace 3 meses,2021-07-01,"Camino Otoñal / Gral Blanche, Los Dominicos, Las Condes, RM (Metropolitana)",120,3.565.536,"0,13 UF/m²",,900 m²,300 m²,4,4,2,,,2,6,1,NORTE Y ORIENTE
653,Puente Alto,Casa,Publicado hace 3 meses,2021-07-01,"Puente Alto, Plaza de Puente Alto, Puente Alto, RM (Metropolitana)",1.300.000,,"0,06 UF/m²",,800 m²,164 m²,4,3,4,,,,4,,
654,Casa En Arriendo De 10 Dorm. En Santiago,Casa,Publicado hace 3 meses,2021-07-01,"Moneda San Martin (piso 1 Arriendo Uf 29) (piso 2 Arriendo Uf 27), Centro Histórico de Santiago, Santiago, RM (Metropolitana)",56,1.663.917,"0,31 UF/m²",,182 m²,242 m²,10,5,,,,,,,
655,Casa En Arriendo De 5 Dormitorios En Santiago,Casa,Publicado hace 3 meses,2021-07-01,"Se Arrienda Casa En Tranquilo Sector De La Comuna De Santiago, Santa Isabel, Santiago, RM (Metropolitana)",1.500.000,,"0,43 UF/m²",,120 m²,,5,2,,,,,,,
656,Casa En Arriendo De 5 Dorm. En Las Condes,Casa,Publicado hace 3 meses,2021-07-01,"Metro Hdo. De Magallanes / Calle Tranquila, Metro Hernando de Magallanes, Las Condes, RM (Metropolitana)",65,1.931.332,"0,11 UF/m²",,585 m²,192 m²,5,2,3,,,,,,
657,Casa En Arriendo De 8 Dorm. En Providencia,Casa,Publicado hace 3 meses,2021-07-01,"Los Leones, Los Leones, Providencia, RM (Metropolitana)",3.250.000,,"0,14 UF/m²",,810 m²,269 m²,8,5,,,,,,,
658,Casa En Arriendo De 3 Dormitorios En Vitacura,Casa,Publicado hace 3 meses,2021-07-01,"Gran Casa Y Terreno / Lo Curro / Cancha Tenis / Piscina Temperada / Embajada, Lo Curro, Vitacura, RM (Metropolitana)",246,7.309.348,"0,05 UF/m²",,5000 m²,900 m²,3,4,10,,,,,,
659,Casa En Arriendo De 6 Dormitorios En Peñalolén,Casa,,2021-07-01,"Arbotretum, Arboretum - Club de Campo, Peñalolén, RM (Metropolitana)",3.500.000,,"0,03 UF/m²",,3580 m²,350 m²,6,6,10,60000 CLP,,,,,
660,Casa En Arriendo De 7 Dorm. En Providencia,Casa,,2021-07-01,"Eliodoro Yañez / Providencia, Salvador, Providencia, RM (Metropolitana)",3.000.000,,"0,11 UF/m²",,896 m²,538 m²,7,5,,,,,,,
661,Casa En Arriendo En Santiago,Casa,Publicado hace 3 meses,2021-07-01,"San Francisco Con Avenida Matta, San Diego, Santiago, RM (Metropolitana)",1.000.000,,,,,179.5 m²,,4,,,,,,,
662,Casa En Arriendo De 7 Dorm. En Colina,Casa,Publicado hace 3 meses,2021-07-01,"Chicureo Poniente, Chicureo, Colina, RM (Metropolitana)",370,10.993.735,"0,14 UF/m²",,2700 m²,950 m²,7,3,8,80000 CLP,,,,,
663,Casa En Arriendo De 4 Dormitorios En Ñuñoa,Casa,Publicado hace 3 meses,2021-07-01,"Gral Pedro Pablo Dartnell Conndoctor Mamerto Cadiz, Estadio Nacional, Ñuñoa, RM (Metropolitana)",2.250.000,,"0,31 UF/m²",,245 m²,210 m²,4,3,,,,,,,
664,Casa En Arriendo De 3 Dorm. En Vitacura,Casa,,2021-07-01,"Espectacular Casa I 3d 5b Y Servicios I Locurro, Lo Curro, Vitacura, RM (Metropolitana)",246,7.309.348,"0,04 UF/m²",,6000 m²,800 m²,3,5,7,,,,,,
665,Casa En Arriendo De 5 Dorm. En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Sector Los Trapenses, Los Trapenses, Lo Barnechea, RM (Metropolitana)",130,3.862.664,"0,12 UF/m²","0,11 UF/m²",1100 m²,470 m²,5,4,5,,,,,,
666,"Excelente Ubicación, Lonquen Norte,frente A Colegio San Feli",Casa,Publicado hace 3 meses,2021-07-01,"El Copihue, Calera De Tango, RM (Metropolitana)",1.800.000,,"0,01 UF/m²",,5117 m²,330 m²,5,4,,,0 años,,10,,
667,"Las Brisas.casa Inglesa Con Maravilloso Jardín, Y Vista A La",Casa,Publicado hace 3 meses,2021-07-01,"Chicureo, Colina, RM (Metropolitana)",148,4.397.494,"0,06 UF/m²","0,03 UF/m²",2495 m²,537 m²,7,7,5,,16 años,,14,,
668,Amplia Casa Mediterránea En Condominio,Casa,Publicado hace 3 meses,2021-07-01,"La Dehesa, Lo Barnechea, RM (Metropolitana)",160,4.754.048,"0,2 UF/m²",,800 m²,400 m²,4,3,3,,3 años,,8,,
669,"Amplia Casa En La Reina Alta, Espectacular Vista Panorámica",Casa,Publicado hace 3 meses,2021-07-01,"La Reina Alta, La Reina, RM (Metropolitana)",122,3.624.961,"0,03 UF/m²",,3500 m²,540 m²,5,8,10,,21 años,,14,,
670,Casa En Arriendo De 4 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Trapenses - Valle Del Monasterio, Los Trapenses, Lo Barnechea, RM (Metropolitana)",4.500.000,,"0,11 UF/m²",,1319 m²,434 m²,4,3,6,,,,,,
671,Casa En Arriendo De 5 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Los Nogales, La Dehesa, Lo Barnechea, RM (Metropolitana)",10.000.000,,"0,08 UF/m²","0,11 UF/m²",4000 m²,686 m²,5,5,5,,,,,,
672,Casa En Arriendo De 3 Dormitorios En Vitacura,Casa,Publicado hace 3 meses,2021-07-01,"Santa María De Manquhue, Santa María de Manquehue, Vitacura, RM (Metropolitana)",10.000.000,,"0,17 UF/m²",,2000 m²,660 m²,3,3,3,,,,,,
673,Casa En Arriendo De 4 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Vista Golf De Manquehue, Los Trapenses, Lo Barnechea, RM (Metropolitana)",840,24.958.750,"0,25 UF/m²","0,11 UF/m²",3300 m²,1000 m²,4,5,,,,,,,
674,Casa En Arriendo De 4 Dorm. En Vitacura,Casa,Publicado hace 3 meses,2021-07-01,"Exclusiva Contemporánea Preciosas Vistas, Santa María de Manquehue, Vitacura, RM (Metropolitana)",175,5.199.740,"0,12 UF/m²","0,1 UF/m²",1500 m²,512 m²,4,6,,,,,,,
675,Casa En Arriendo De 5 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Lomas De La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",13.500.000,,"0,32 UF/m²","0,11 UF/m²",1400 m²,800 m²,5,6,6,50 CLP,,,,,
676,Excelente Casa Para Uso Comercial En El Rodeo,Casa,Publicado hace 3 meses,2021-07-01,"La Dehesa, Lo Barnechea, RM (Metropolitana)",300,8.913.839,"0,23 UF/m²",,1278 m²,245 m²,6,5,,,0 años,,11,,
677,Casa En Arriendo De 5 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Valle Escondido, El Arrayán, Lo Barnechea, RM (Metropolitana)",4.800.000,,"0,08 UF/m²","0,11 UF/m²",2053 m²,461 m²,5,6,4,,,,,,
678,Moderna Casa En Condominio Con Vista Despejada A Santiago.,Casa,Publicado hace 3 meses,2021-07-01,"Los Dominicos, Las Condes, RM (Metropolitana)",148,4.397.494,"0,17 UF/m²",,890 m²,305 m²,3,4,4,,7 años,,8,,
679,Espectacular Casa Estilo Provenzal Ubicada En Condominio Gol,Casa,Publicado hace 3 meses,2021-07-01,"La Dehesa, Lo Barnechea, RM (Metropolitana)",150,4.456.920,"0,1 UF/m²","0,11 UF/m²",1541 m²,632 m²,4,4,8,,11 años,,9,,
680,Casa En Arriendo De 4 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Valle Escondido, Valle Escondido, Lo Barnechea, RM (Metropolitana)",11.400.000,,"0,17 UF/m²","0,11 UF/m²",2293 m²,852 m²,4,5,7,300000 CLP,,,,,
681,Casa En Arriendo De 4 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Las Pataguas, La Dehesa, Lo Barnechea, RM (Metropolitana)",210,6.239.687,"0,12 UF/m²","0,11 UF/m²",1787 m²,750 m²,4,5,8,,,,,,
682,Casa En Arriendo De 6 Dorm. En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Condominio En Vista Santuario, Los Trapenses, Lo Barnechea, RM (Metropolitana)",210,6.260.784,"0,18 UF/m²","0,11 UF/m²",1200 m²,500 m²,6,4,5,40000 CLP,,,,,
683,Casa En Arriendo De 4 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Las Pataguas, La Dehesa, Lo Barnechea, RM (Metropolitana)",300,8.913.839,"0,17 UF/m²","0,11 UF/m²",1787 m²,750 m²,4,5,8,,,,,,
684,Casa En Arriendo De 4 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Club De Golf Lomas De La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",200,5.942.559,"0,11 UF/m²","0,11 UF/m²",1800 m²,550 m²,4,4,5,140000 CLP,,,,,
685,Gran Casa Mediterránea - Lo Curro,Casa,Publicado hace 3 meses,2021-07-01,"Lo Curro, Vitacura, RM (Metropolitana)",150,4.456.920,"0,06 UF/m²",,2575 m²,330 m²,3,3,8,,40 años,,7,,
686,Maravilllosa Casa Italiana En Las Pataguas,Casa,Publicado hace 3 meses,2021-07-01,"Los Trapenses, Lo Barnechea, RM (Metropolitana)",142,4.219.217,"0,12 UF/m²",,1228 m²,420 m²,4,3,8,,25 años,,8,,
687,Casa En Arriendo De 7 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Valle Escondido, Valle Escondido, Lo Barnechea, RM (Metropolitana)",15.000.000,,"0,14 UF/m²","0,11 UF/m²",3700 m²,1290 m²,7,9,10,,,,,,
688,Casa En Arriendo De 5 Dorm. En Las Condes,Casa,Publicado hace 3 meses,2021-07-01,"Entre Las Flores Y El Alba, Los Dominicos, Las Condes, RM (Metropolitana)",5.500.000,,"0,06 UF/m²","0,1 UF/m²",3100 m²,650 m²,5,4,14,,,,,,
689,Casa En Arriendo De 4 Dormitorios En Las Condes,Casa,Publicado hace 3 meses,2021-07-01,"Rotonda Las Flores, Los Dominicos, Las Condes, RM (Metropolitana)",3.500.000,,"0,09 UF/m²",,1280 m²,300 m²,4,3,6,,,,,,
690,Casa En Arriendo De 6 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"El Rodeo/ La Higuera, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.700.000,,"0,14 UF/m²","0,15 UF/m²",650 m²,240 m²,6,5,2,,,,,,
691,Casa En Arriendo De 5 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Club De Golf Lomas De La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",6.800.000,,"0,06 UF/m²","0,11 UF/m²",3600 m²,600 m²,5,7,15,,,,,,
692,Excelente Casa Con Gran Parque Sector Las Pataguas,Casa,Publicado hace 3 meses,2021-07-01,"Los Trapenses, Lo Barnechea, RM (Metropolitana)",341,10.132.064,"0,15 UF/m²","0,11 UF/m²",2250 m²,644 m²,4,4,6,,11 años,,9,,
693,"Espectacular Propiedad En Maravilloso Terreno,  Arquitecto C",Casa,Publicado hace 3 meses,2021-07-01,"La Dehesa, Lo Barnechea, RM (Metropolitana)",380,11.290.863,"0,1 UF/m²",,4000 m²,680 m²,5,3,4,,29 años,,9,,
694,"Gran Casa Estilo Único Las Pataguas, Cerca Centros Comercial",Casa,Publicado hace 3 meses,2021-07-01,"Los Trapenses, Lo Barnechea, RM (Metropolitana)",145,4.308.356,"0,14 UF/m²","0,16 UF/m²",1000 m²,500 m²,6,5,3,,0 años,,13,,
695,"Espectacular Arquitectura, Maravilloso Terreno",Casa,Publicado hace 3 meses,2021-07-01,"Lo Curro, Vitacura, RM (Metropolitana)",168,4.991.750,"0,03 UF/m²",,5000 m²,1 m²,4,3,,,0 años,,8,,
696,"Casa  Mediterránea, Gran Arquitectura, Insuperable Vista",Casa,Publicado hace 3 meses,2021-07-01,"Los Trapenses, Lo Barnechea, RM (Metropolitana)",204,6.061.411,"0,09 UF/m²","0,11 UF/m²",2324 m²,600 m²,5,5,5,,8 años,,11,,
697,"Acogedora Casa, El Arrayán, Vista Insuperable",Casa,Publicado hace 3 meses,2021-07-01,"Quinchamalí, Las Condes, RM (Metropolitana)",58,1.723.342,"0,13 UF/m²",,450 m²,180 m²,3,2,3,,0 años,,5,,
698,Amplia Casa Para Local U Oficina Sector Bilbao - Los Leones,Casa,Publicado hace 3 meses,2021-07-01,"Los Leones, Providencia, RM (Metropolitana)",210,6.239.687,,,540 m²,360 m²,,,30,,0 años,,,,
699,Casa En Arriendo De 7 Dormitorios En Vitacura,Casa,Publicado hace 3 meses,2021-07-01,"Lo Curro/via Grande, Lo Curro, Vitacura, RM (Metropolitana)",310,9.210.967,"0,06 UF/m²","0,1 UF/m²",5000 m²,700 m²,7,8,,150000 CLP,,,,,
700,Casa En Arriendo De 4 Dorm. En Providencia,Casa,Publicado hace 3 meses,2021-07-01,"Los Leones, Los Leones, Providencia, RM (Metropolitana)",160,4.754.048,0 UF/m²,,,391 m²,4,7,4,,,,,,
701,Casa En Arriendo De 4 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Cerro La Cruz, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.500.000,,"0,1 UF/m²","0,11 UF/m²",1200 m²,350 m²,4,5,,,,,,,
702,Casa En Arriendo De 4 Dormitorios En Providencia,Casa,,2021-07-01,"Club Providencia, Las Lilas, Providencia, RM (Metropolitana)",110,3.268.408,"0,17 UF/m²",,630 m²,450 m²,4,4,6,,,,,,
703,Casa En Arriendo En Ñuñoa,Casa,,2021-07-01,"Antonio Varas/irarrazaval, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",72,2.156.555,,,528 m²,261 m²,,4,8,,,,,,
704,Casa En Arriendo De 5 Dormitorios En Lo Barnechea,Casa,,2021-07-01,"Av La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",180,5.348.304,"0,23 UF/m²","0,16 UF/m²",800 m²,400 m²,5,4,3,220000 CLP,,,,,
705,Casa En Arriendo De 5 Dormitorios En Vitacura,Casa,,2021-07-01,"Luis Pasteur, Santa María de Manquehue, Vitacura, RM (Metropolitana)",4.000.000,,"0,12 UF/m²","0,1 UF/m²",1090 m²,480 m²,5,6,3,50000 CLP,,,,,
706,Casa En Arriendo De 4 Dormitorios En La Reina,Casa,,2021-07-01,"Príncipe De Gales, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",83,2.466.162,"0,33 UF/m²",,250 m²,,4,1,,,,,,,
707,Casa En Arriendo De 4 Dormitorios En La Reina,Casa,,2021-07-01,"Principe De Gales, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",83,2.466.162,"0,33 UF/m²",,250 m²,,4,1,,,,,,,
708,Casa En Arriendo De 9 Dorm. En Providencia,Casa,,2021-07-01,"Bilbao Salvador, Barrio Italia, Providencia, RM (Metropolitana)",65,1.931.332,"0,16 UF/m²",,394 m²,335 m²,9,4,7,,,,,,
709,Casa En Arriendo De 4 Dormitorios En La Reina,Casa,,2021-07-01,"Echeñique/tobalaba, Palmas de Mallorca, La Reina, RM (Metropolitana)",385,11.439.427,"0,08 UF/m²",,5000 m²,500 m²,4,3,,,,,,,
710,Camino Las Flores / Camino La Fuente,Casa,,2021-07-01,"Camino Las Flores / Camino La Fuente, Los Dominicos, Las Condes, RM (Metropolitana)",3.990.000,,"0,18 UF/m²","0,17 UF/m²",732 m²,400 m²,4,4,2,400000 CLP,,2,6,,
711,Camino Las Flores / Camino La Fuente,Casa,,2021-07-01,"Camino Las Flores / Camino La Fuente, Los Dominicos, Las Condes, RM (Metropolitana)",3.990.000,,"0,18 UF/m²","0,17 UF/m²",732 m²,400 m²,4,4,2,400000 CLP,,2,6,,
712,Casa En Arriendo De 10 Dormitorios En Providencia,Casa,,2021-07-01,"Fresia, Barrio Italia, Providencia, RM (Metropolitana)",1.900.000,,"0,17 UF/m²","0,19 UF/m²",387 m²,237 m²,10,4,,,,,,,
713,Casa En Arriendo De 3 Dorm. En Maipú,Casa,,2021-07-01,"Plaza De Maipú, Plaza de Maipú, Maipú, RM (Metropolitana)",2.000.000,,"0,2 UF/m²",,342 m²,119 m²,3,3,2,,,,,,
714,Casa En Arriendo De 7 Dormitorios En La Reina,Casa,,2021-07-01,,110,3.268.408,"0,11 UF/m²",,1000 m²,400 m²,7,4,4,,,,,,
715,Casa En Arriendo De 5 Dormitorios En Las Condes,Casa,,2021-07-01,"Padre Hurtado Central, Los Dominicos, Las Condes, RM (Metropolitana)",120,3.565.536,"0,24 UF/m²","0,17 UF/m²",493 m²,160 m²,5,3,,,,,,,
716,Casa En Arriendo En Talagante,Casa,,2021-07-01,"Calle Principal De Talagante, Centro de Talagante, Talagante, RM (Metropolitana)",150,4.456.920,,,,,,6,,,,,,,
717,Casa En Arriendo De 7 Dormitorios En Vitacura,Casa,,2021-07-01,"Clinica Alemana, Vitacura, RM (Metropolitana)",250,7.428.199,"0,5 UF/m²",,500 m²,360 m²,7,6,13,,,,,,
718,Casa En Arriendo De 15 Dorm. En Vitacura,Casa,,2021-07-01,"Clinica Alemana, Nuestra Señora del Rosario, Vitacura, RM (Metropolitana)",210,6.239.687,"0,42 UF/m²",,500 m²,360 m²,15,6,,,,,,,
719,Casa En Arriendo De 10 Dormitorios En Las Condes,Casa,,2021-07-01,"Escuela Militar, Metro Escuela Militar, Las Condes, RM (Metropolitana)",5.000.000,,"0,42 UF/m²",,404 m²,300 m²,10,7,6,,,,,,
720,Casa En Arriendo De 3 Dormitorios En Providencia,Casa,,2021-07-01,"Mallinkrodt Sector Patio De Comidas, Bellavista, Providencia, RM (Metropolitana)",6.000.000,,"0,74 UF/m²",,276 m²,520 m²,3,4,,,,,,,
721,Casa En Arriendo De 4 Dormitorios En Colina,Casa,,2021-07-01,"Las Brisas, Chicureo, Colina, RM (Metropolitana)",5.000.000,,"0,06 UF/m²","0,03 UF/m²",3020 m²,600 m²,4,4,6,200000 CLP,,,,,
722,Casa En Arriendo De 4 Dorm. En Vitacura,Casa,,2021-07-01,"Alonso De Cordova, Parque Bicentenario, Vitacura, RM (Metropolitana)",2.700.000,,"0,24 UF/m²",,379 m²,220 m²,4,3,2,,,,,,
723,Casa En Arriendo De 6 Dormitorios En Lo Barnechea,Casa,Publicado hace 3 meses,2021-07-01,"Sector Cam. Del Huinganal - La Dehesa., La Dehesa, Lo Barnechea, RM (Metropolitana)",4.000.000,,"0,1 UF/m²","0,11 UF/m²",1290 m²,450 m²,6,4,4,,,,,,
724,Santa Maria De Manquehue,Casa,Publicado hace 3 meses,2021-07-01,"Santa Maria De Manquehue, Santa María de Manquehue, Vitacura, RM (Metropolitana)",4.000.000,,"0,13 UF/m²","0,1 UF/m²",1060 m²,480 m²,5,6,4,,,,6,,
725,Santa Maria De Manquehue,Casa,Publicado hace 3 meses,2021-07-01,"Santa Maria De Manquehue, Santa María de Manquehue, Vitacura, RM (Metropolitana)",4.500.000,,"0,14 UF/m²","0,1 UF/m²",1100 m²,333 m²,4,4,3,,,,5,,
726,Santa María De Manquehue,Casa,Publicado hace 3 meses,2021-07-01,"Santa María De Manquehue, Santa María de Manquehue, Vitacura, RM (Metropolitana)",5.000.000,,"0,11 UF/m²","0,1 UF/m²",1602 m²,550 m²,6,6,6,,,,7,1,NOR ORIENTE
727,Lo Curro Bajo,Casa,Publicado hace 3 meses,2021-07-01,"Lo Curro Bajo, Lo Curro, Vitacura, RM (Metropolitana)",185,5.496.867,"0,13 UF/m²","0,1 UF/m²",1450 m²,350 m²,4,4,,,,,5,,
728,Lo Curro Bajo,Casa,Publicado hace 3 meses,2021-07-01,"Lo Curro Bajo, Lo Curro, Vitacura, RM (Metropolitana)",150,4.456.920,"0,1 UF/m²","0,1 UF/m²",1450 m²,350 m²,4,4,,,,,5,,
729,"Casa En Arriendo, Las Condes",Casa,Publicado hace 3 meses,2021-07-01,"Nuestra Señora Del Rosario, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.400.000,,"0,25 UF/m²",,192 m²,98 m²,4,3,2,,52 años,,,,
730,"Estupenda Casa Mediterránea, Gran Jardín,  Conectividad Cost",Casa,Publicado hace 3 meses,2021-07-01,"Lo Curro, Vitacura, RM (Metropolitana)",229,6.804.231,"0,04 UF/m²",,6049 m²,583 m²,4,3,7,,25 años,,8,,
731,"Extraordinaria Casa En Arriendo, 7 Dormitorios/5 Baños, L...",Casa,Publicado hace 3 meses,2021-07-01,"Las Lavandulas 9760, Los Dominicos, Las Condes, RM (Metropolitana)",3.500.000,,"0,1 UF/m²",,1200 m²,278 m²,7,5,14,,45 años,,,,
732,Valle Escondido,Casa,,2021-07-01,"Valle Escondido, Valle Escondido, Lo Barnechea, RM (Metropolitana)",160,4.754.048,"0,12 UF/m²","0,11 UF/m²",1300 m²,450 m²,4,5,4,,,,6,1,NORORIENTE
733,Casa En Arriendo De 1 Dorm. En La Florida,Casa,,2021-07-01,"Santa Julia Avda. La Florida, La Florida Alto, La Florida, RM (Metropolitana)",200.000,,"0,21 UF/m²",,32 m²,32 m²,1,1,,,,,,,
734,Sector Punta De Aguilas/ El Golf De Manquehue,Casa,Publicado hace 3 meses,2021-07-01,"Sector Punta De Aguilas/ El Golf De Manquehue, Los Trapenses, Lo Barnechea, RM (Metropolitana)",225,6.685.379,"0,07 UF/m²","0,11 UF/m²",3025 m²,800 m²,6,9,10,,,,7,,
735,Casa En Arriendo De 9 Dorm. En Providencia,Casa,,2021-07-01,"General Del Canto / Anibal Ariztía, Manuel Montt, Providencia, RM (Metropolitana)",2.200.000,,"0,32 UF/m²",,230 m²,223 m²,9,3,3,,,,,,
736,Casa En Arriendo De 11 Dorm. En Providencia,Casa,,2021-07-01,"General Salvo/ Salvador, Salvador, Providencia, RM (Metropolitana)",85,2.525.588,"0,3 UF/m²","0,19 UF/m²",280 m²,210 m²,11,6,,,,,,,
737,Casa En Arriendo De 7 Dorm. En Buín,Casa,Publicado hace 3 meses,2021-07-01,"Vendo O Arriendo Propiedad Ideal Oficina O Comercio, Remodelada ! Buin Centro, Centro de Buin, Buin, RM (Metropolitana)",3.000.000,,"0,28 UF/m²",,360 m²,280 m²,7,6,1,,,,,,
738,Las Compuertas,Casa,,2021-07-01,"Las Compuertas, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.523.200,,"0,31 UF/m²",,385 m²,350 m²,5,4,4,0 CLP,0 años,,5,,Este
739,Las Compuertas,Casa,,2021-07-01,"Las Compuertas, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.523.200,,"0,31 UF/m²",,385 m²,350 m²,5,4,4,0 CLP,0 años,,5,,Este
740,Casa En Arriendo De 6 Dorm. En Vitacura,Casa,Publicado hace 3 meses,2021-07-01,"Santa María De Manquehue, Santa María de Manquehue, Vitacura, RM (Metropolitana)",140,4.159.792,"0,14 UF/m²","0,17 UF/m²",1000 m²,420 m²,6,5,4,,,,,,
741,Casa En Arriendo De 4 Dorm. En Vitacura,Casa,Publicado hace 3 meses,2021-07-01,"Juan Bautista Pastene, Parque Bicentenario, Vitacura, RM (Metropolitana)",7.000,5.094.320,"0,07 UF/m²","0,1 UF/m²",2360 m²,520 m²,4,4,10,,,,,,
742,Casa En Arriendo De 5 Dormitorios En Vitacura,Casa,Publicado hace 3 meses,2021-07-01,"Lo Castillo, Parque Bicentenario, Vitacura, RM (Metropolitana)",4.500.000,,"0,29 UF/m²",,530 m²,230 m²,5,3,,,,,,,
743,Casa En Arriendo De 5 Dorm. En Vitacura,Casa,Publicado hace 3 meses,2021-07-01,"Espoz / Candelaria Goyenechea, Parque Bicentenario, Vitacura, RM (Metropolitana)",220,6.536.815,"0,07 UF/m²","0,1 UF/m²",3271 m²,808 m²,5,5,7,,,,,,
744,Oportunidad Casa En Condominio 600/6000mtrs,Casa,Publicado hace 3 meses,2021-07-01,"Trebulco, Talagante, RM (Metropolitana)",2.000.000,,"0,01 UF/m²",,6094 m²,682 m²,5,6,3,,11 años,,11,,
745,Casa En Arriendo De 5 Dorm. En San Joaquín,Casa,,2021-07-01,"Av Vicuña Mackenna / Schubert, Rodrigo de Araya, San Joaquín, RM (Metropolitana)",1.350.000,,,,223 m²,136 m²,5,3,4,,,,,,
746,Casa En Arriendo De 5 Dorm. En Las Condes,Casa,Publicado hace 2 meses,2021-07-01,"Rafael Beltran, Metro Hernando de Magallanes, Las Condes, RM (Metropolitana)",65,1.931.332,"0,11 UF/m²",,585 m²,152.95 m²,5,3,2,,,,,,
747,Casa En Arriendo De 3 Dorm. En Providencia,Casa,Publicado hace 2 meses,2021-07-01,"Propiedad En Nueva Providencia/manuel Montt, Manuel Montt, Providencia, RM (Metropolitana)",3.000.000,,"0,24 UF/m²",,429 m²,220 m²,3,2,2,,,,,,
748,Casa En Arriendo De 5 Dormitorios En Lo Barnechea,Casa,Publicado hace 2 meses,2021-07-01,"Valle Escondido/venta Sin Comisión, El Arrayán, Lo Barnechea, RM (Metropolitana)",4.800.000,,"0,08 UF/m²","0,11 UF/m²",2053 m²,461 m²,5,7,8,700000 CLP,,,,,
749,Casa En Arriendo De 5 Dormitorios En Lo Barnechea,Casa,Publicado hace 2 meses,2021-07-01,"Las Pataguas, Los Trapenses, Lo Barnechea, RM (Metropolitana)",8.000.000,,"0,12 UF/m²","0,11 UF/m²",2300 m²,600 m²,5,6,5,100000 CLP,,,,,
750,Casa En Arriendo De 5 Dorm. En Las Condes,Casa,Publicado hace 2 meses,2021-07-01,"De Monte, Quinchamalí, Las Condes, RM (Metropolitana)",3.500.000,,"0,11 UF/m²","0,1 UF/m²",1050 m²,400 m²,5,7,7,,,,,,
751,Casa En Arriendo De 10 Dormitorios En Providencia,Casa,Publicado hace 2 meses,2021-07-01,"Alberto Henckel - Suecia, Los Leones, Providencia, RM (Metropolitana)",100,2.971.280,"0,25 UF/m²","0,19 UF/m²",400 m²,300 m²,10,4,,,,,,,
752,Casa En Arriendo De 6 Dormitorios En Las Condes,Casa,Publicado hace 2 meses,2021-07-01,"Manquehue, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",142,4.219.217,"0,14 UF/m²","0,17 UF/m²",1000 m²,373 m²,6,4,10,,,,,,
753,Casa En Arriendo De 4 Dormitorios En Las Condes,Casa,Publicado hace 2 meses,2021-07-01,"Paul Harris, Las Condes, RM (Metropolitana)",1.600.000,,"0,13 UF/m²",,430 m²,180 m²,4,5,,,,,,,
754,Casa En Arriendo De 3 Dorm. En La Reina,Casa,,2021-07-01,"Dragones De La Reina, La Reina, RM (Metropolitana)",1.250.000,,"0,1 UF/m²",,420 m²,115 m²,3,2,3,,,,,,
755,"Piedra Roja, Sector Guay Guay, Amoblada  1 De Juni",Casa,Publicado hace 2 meses,2021-07-01,"Piedra Roja, Sector Guay Guay, Amoblada  1 De Juni, Chicureo, Colina, RM (Metropolitana)",2.800.000,,,,300 m²,5000 m²,,,,,,,1,,
756,Casa En Arriendo De 11 Dormitorios En Providencia,Casa,,2021-07-01,"Vicuña Mackenna Entre Bilbao Y Marín, Santa Isabel, Santiago, RM (Metropolitana)",5.500.000,,"0,33 UF/m²",,560 m²,550 m²,11,5,2,,,,,,
